sst,u10,hsig,time,latitude,longitude
271.45993,-0.03390169,,2005-11-13 12:00:00,-65.1,-170.1
271.45993,1.0342921,,2005-11-14 12:00:00,-65.1,-170.1
271.45947,1.4821352,,2005-11-15 12:00:00,-65.1,-170.1
271.45947,-4.4162693,,2005-11-16 12:00:00,-65.1,-170.1
271.45993,-2.4260058,,2005-11-17 12:00:00,-65.1,-170.1
271.45993,-4.8147283,,2005-11-18 12:00:00,-65.1,-170.1
271.46017,8.125366,,2005-11-19 12:00:00,-65.1,-170.1
271.45993,6.4692945,,2005-11-20 12:00:00,-65.1,-170.1
271.46017,6.837987,,2005-11-21 12:00:00,-65.1,-170.1
271.46017,4.407998,,2005-11-22 12:00:00,-65.1,-170.1
271.46017,5.8042946,,2005-11-23 12:00:00,-65.1,-170.1
271.46017,4.6068892,,2005-11-24 12:00:00,-65.1,-170.1
271.45993,6.7392178,,2005-11-25 12:00:00,-65.1,-170.1
271.45972,-1.2908388,,2005-11-26 12:00:00,-65.1,-170.1
271.46017,0.94364107,,2005-11-27 12:00:00,-65.1,-170.1
271.45993,7.921064,,2005-11-28 12:00:00,-65.1,-170.1
271.45993,2.6998353,,2005-11-29 12:00:00,-65.1,-170.1
271.46017,4.529092,,2005-11-30 12:00:00,-65.1,-170.1
271.46213,4.9694934,,2005-12-01 12:00:00,-65.1,-170.1
271.46143,4.692805,,2005-12-02 12:00:00,-65.1,-170.1
271.46243,2.4387064,,2005-12-03 12:00:00,-65.1,-170.1
271.46408,3.5143416,,2005-12-04 12:00:00,-65.1,-170.1
271.46512,1.035645,,2005-12-05 12:00:00,-65.1,-170.1
271.46362,8.993316,,2005-12-06 12:00:00,-65.1,-170.1
271.46188,-2.6052785,,2005-12-07 12:00:00,-65.1,-170.1
271.47192,-0.5094813,,2005-12-08 12:00:00,-65.1,-170.1
271.47043,5.6405816,,2005-12-09 12:00:00,-65.1,-170.1
271.47827,-5.4682274,,2005-12-10 12:00:00,-65.1,-170.1
271.50198,3.4074545,,2005-12-11 12:00:00,-65.1,-170.1
271.48758,1.2088292,,2005-12-12 12:00:00,-65.1,-170.1
271.4763,4.722571,,2005-12-13 12:00:00,-65.1,-170.1
271.4727,4.782103,,2005-12-14 12:00:00,-65.1,-170.1
271.46927,2.1640472,,2005-12-15 12:00:00,-65.1,-170.1
271.4727,-0.56968987,,2005-12-16 12:00:00,-65.1,-170.1
271.4734,2.538152,,2005-12-17 12:00:00,-65.1,-170.1
271.47754,0.578331,,2005-12-18 12:00:00,-65.1,-170.1
271.4907,3.5285482,0.63988924,2005-12-19 12:00:00,-65.1,-170.1
271.47684,7.564548,,2005-12-20 12:00:00,-65.1,-170.1
271.47168,1.3813367,,2005-12-21 12:00:00,-65.1,-170.1
271.49783,-6.2881455,0.73670006,2005-12-22 12:00:00,-65.1,-170.1
271.70773,-6.4782424,0.92957973,2005-12-23 12:00:00,-65.1,-170.1
271.8621,-5.636676,0.91659737,2005-12-24 12:00:00,-65.1,-170.1
271.94528,2.2303443,1.100946,2005-12-25 12:00:00,-65.1,-170.1
271.96704,2.962994,0.9631481,2005-12-26 12:00:00,-65.1,-170.1
271.9927,-3.4644337,1.6389694,2005-12-27 12:00:00,-65.1,-170.1
272.04593,-3.7336807,1.730216,2005-12-28 12:00:00,-65.1,-170.1
272.07788,-0.090051174,1.3789525,2005-12-29 12:00:00,-65.1,-170.1
272.1101,3.7342043,1.7975388,2005-12-30 12:00:00,-65.1,-170.1
272.14212,5.7853527,2.5475445,2005-12-31 12:00:00,-65.1,-170.1
272.04492,1.0796175,2.5592284,2006-01-01 12:00:00,-65.1,-170.1
272.0818,1.3082746,2.2035136,2006-01-02 12:00:00,-65.1,-170.1
272.11942,-9.850595,2.539384,2006-01-03 12:00:00,-65.1,-170.1
272.15628,-1.8509811,4.727457,2006-01-04 12:00:00,-65.1,-170.1
272.1934,-9.463637,4.436839,2006-01-05 12:00:00,-65.1,-170.1
272.2312,2.9251099,2.9692833,2006-01-06 12:00:00,-65.1,-170.1
272.26852,-2.3509145,2.796248,2006-01-07 12:00:00,-65.1,-170.1
272.3054,-5.7104144,2.6445405,2006-01-08 12:00:00,-65.1,-170.1
272.34305,-2.492303,3.2133505,2006-01-09 12:00:00,-65.1,-170.1
272.38037,2.4630604,2.7135322,2006-01-10 12:00:00,-65.1,-170.1
272.41772,-6.9680276,1.9436822,2006-01-11 12:00:00,-65.1,-170.1
272.4551,-1.8692466,2.7613811,2006-01-12 12:00:00,-65.1,-170.1
272.49292,0.7061895,2.645468,2006-01-13 12:00:00,-65.1,-170.1
272.52933,-4.8275814,2.4201322,2006-01-14 12:00:00,-65.1,-170.1
272.56665,-4.8411117,2.717427,2006-01-15 12:00:00,-65.1,-170.1
272.99414,-12.661454,3.949632,2006-01-16 12:00:00,-65.1,-170.1
273.10742,-9.669293,3.3750727,2006-01-17 12:00:00,-65.1,-170.1
273.26245,3.8032074,3.074069,2006-01-18 12:00:00,-65.1,-170.1
273.3926,7.827707,3.3420608,2006-01-19 12:00:00,-65.1,-170.1
273.44458,3.8194432,2.0353003,2006-01-20 12:00:00,-65.1,-170.1
273.4568,2.4562955,1.7174191,2006-01-21 12:00:00,-65.1,-170.1
273.4719,5.176502,1.6558461,2006-01-22 12:00:00,-65.1,-170.1
273.53146,10.845573,2.9023318,2006-01-23 12:00:00,-65.1,-170.1
273.6045,4.3816147,3.5453262,2006-01-24 12:00:00,-65.1,-170.1
273.64847,-2.7047243,2.6610467,2006-01-25 12:00:00,-65.1,-170.1
273.68283,0.91319853,2.5557046,2006-01-26 12:00:00,-65.1,-170.1
273.7297,1.9096832,2.53586,2006-01-27 12:00:00,-65.1,-170.1
273.8101,2.0064228,2.9331183,2006-01-28 12:00:00,-65.1,-170.1
273.89987,1.6654667,1.7661958,2006-01-29 12:00:00,-65.1,-170.1
273.96634,-8.468506,2.1641955,2006-01-30 12:00:00,-65.1,-170.1
274.01633,-7.0174127,2.204997,2006-01-31 12:00:00,-65.1,-170.1
274.05664,-8.088989,1.8761744,2006-02-01 12:00:00,-65.1,-170.1
274.0928,-0.1800257,1.5714612,2006-02-02 12:00:00,-65.1,-170.1
274.14627,-2.309648,2.6743999,2006-02-03 12:00:00,-65.1,-170.1
274.2058,5.305714,2.4711342,2006-02-04 12:00:00,-65.1,-170.1
274.23877,-0.77805173,2.0338163,2006-02-05 12:00:00,-65.1,-170.1
274.2048,6.7723665,2.6732872,2006-02-06 12:00:00,-65.1,-170.1
